# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Dec  4 21:31:33 2019
#
# COLUMN fpl_hostname:   Host Name
# COLUMN fpl_name:       Planet Name
# COLUMN fpl_discmethod: Discovery Method
# COLUMN fpl_orbper:     Orbital Period [days]
# COLUMN fpl_orbpererr1: Orbital Period Upper Unc. [days]
# COLUMN fpl_orbpererr2: Orbital Period Lower Unc. [days]
# COLUMN fpl_orbperlim:  Orbital Period [days] Limit Flag
# COLUMN fpl_smax:       Orbit Semi-Major Axis [AU]
# COLUMN fpl_smaxerr1:   Orbit Semi-Major Axis Upper Unc.[AU]
# COLUMN fpl_smaxerr2:   Orbit Semi-Major Axis Lower Unc.[AU]
# COLUMN fpl_smaxlim:    Orbit Semi-Major Axis [AU] Limit Flag
# COLUMN fpl_eccen:      Eccentricity
# COLUMN fpl_eccenerr1:  Eccentricity Upper Unc.
# COLUMN fpl_eccenerr2:  Eccentricity Lower Unc.
# COLUMN fpl_eccenlim:   Eccentricity Limit Flag
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass]
# COLUMN fpl_bmasseerr1: Planet Mass or M*sin(i) Upper Unc. [Earth mass]
# COLUMN fpl_bmasseerr2: Planet Mass or M*sin(i) Lower Unc. [Earth mass]
# COLUMN fpl_bmasselim:  Planet Mass or M*sin(i) [Earth mass] Limit Flag
# COLUMN fpl_bmassprov:  Planet Mass or M*sin(i) Provenance
# COLUMN fpl_rade:       Planet Radius [Earth radii]
# COLUMN fpl_radeerr1:   Planet Radius Upper Unc. [Earth radii]
# COLUMN fpl_radeerr2:   Planet Radius Lower Unc. [Earth radii]
# COLUMN fpl_radelim:    Planet Radius [Earth radii] Limit Flag
# COLUMN fpl_dens:       Planet Density [g/cm**3]
# COLUMN fpl_denserr1:   Planet Density Upper Unc. [g/cm**3]
# COLUMN fpl_denserr2:   Planet Density Lower Unc. [g/cm**3]
# COLUMN fpl_denslim:    Planet Density [g/cm**3] Limit Flag
# COLUMN fpl_eqt:        Equilibrium Temperature [K]
# COLUMN fpl_eqterr1:    Equilibrium Temperature Upper Unc. [K]
# COLUMN fpl_eqterr2:    Equilibrium Temperature Lower Unc. [K]
# COLUMN fpl_eqtlim:     Equilibrium Temperature [K] Limit Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN fst_dist:       Distance [pc]
# COLUMN fst_disterr1:   Distance Upper Unc. [pc]
# COLUMN fst_disterr2:   Distance Lower Unc. [pc]
# COLUMN fst_distlim:    Distance [pc] Limit Flag
# COLUMN fst_optmag:     Optical Magnitude [mag]
# COLUMN fst_optmagerr:  Optical Magnitude Unc. [mag]
# COLUMN fst_optmaglim:  Optical Magnitude [mag] Limit Flag
# COLUMN fst_optmagband: Optical Magnitude Band
# COLUMN fst_nirmag:     Near-IR Magnitude [mag]
# COLUMN fst_nirmagerr:  Near-IR Magnitude Unc. [mag]
# COLUMN fst_nirmaglim:  Near-IR Magnitude [mag] Limit Flag
# COLUMN fst_nirmagband: Near-IR Magnitude Band
# COLUMN fst_spt:        Spectral Type
# COLUMN fst_teff:       Effective Temperature [K]
# COLUMN fst_tefferr1:   Effective Temperature Upper Unc. [K]
# COLUMN fst_tefferr2:   Effective Temperature Lower Unc. [K]
# COLUMN fst_tefflim:    Effective Temperature [K] Limit Flag
# COLUMN fst_logg:       Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN fst_loggerr1:   Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN fst_loggerr2:   Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN fst_logglim:    Stellar Surface Gravity [log10(cm/s**2)] Limit Flag
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)]
# COLUMN fst_lumerr1:    Stellar Luminosity Upper Unc. [log10(Solar luminosity)]
# COLUMN fst_lumerr2:    Stellar Luminosity Lower Unc. [log10(Solar luminosity)]
# COLUMN fst_lumlim:     Stellar Luminosity [log10(Solar luminosity)] Limit Flag
# COLUMN fst_lumreflink: Stellar Luminosity Reference
# COLUMN fst_mass:       Stellar Mass [Solar mass]
# COLUMN fst_masserr1:   Stellar Mass Upper Unc. [Solar mass]
# COLUMN fst_masserr2:   Stellar Mass Lower Unc. [Solar mass]
# COLUMN fst_masslim:    Stellar Mass [Solar mass] Limit Flag
# COLUMN fst_rad:        Stellar Radius [Solar radii]
# COLUMN fst_raderr1:    Stellar Radius Upper Unc. [Solar radii]
# COLUMN fst_raderr2:    Stellar Radius Lower Unc. [Solar radii]
# COLUMN fst_radlim:     Stellar Radius [Solar radii] Limit Flag
# COLUMN fst_met:        Stellar Metallicity [dex]
# COLUMN fst_meterr1:    Stellar Metallicity Upper Unc. [dex]
# COLUMN fst_meterr2:    Stellar Metallicity Lower Unc. [dex]
# COLUMN fst_metlim:     Stellar Metallicity [dex] Limit Flag
# COLUMN fst_metratio:   Metallicity Ratio
# COLUMN fst_age:        Stellar Age [Gyr]
# COLUMN fst_ageerr1:    Stellar Age Upper Unc. [Gyr]
# COLUMN fst_ageerr2:    Stellar Age Lower Unc. [Gyr]
# COLUMN fst_agelim:     Stellar Age [Gyr] Limit Flag
#
fpl_hostname,fpl_name,fpl_discmethod,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,fpl_eqt,fpl_eqterr1,fpl_eqterr2,fpl_eqtlim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_optmag,fst_optmagerr,fst_optmaglim,fst_optmagband,fst_nirmag,fst_nirmagerr,fst_nirmaglim,fst_nirmagband,fst_spt,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_lumreflink,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_met,fst_meterr1,fst_meterr2,fst_metlim,fst_metratio,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
K2-132,K2-132 b,Transit,9.17510000,0.00230000,-0.00270000,0,0.091600,0.000600,-0.000600,0,0.290000,0.049000,-0.049000,0,155.73670,19.06980,-19.06980,0,Mass,14.572,0.785,-0.785,0,0.27700,,,0,1586,10,-10,0,12h08m39.94s,182.166397,-08d44m49.8s,-8.747175,620.41,17.92,-17.92,0,11.897,0.030,0,V (Johnson),9.540,0.023,0,Ks (2MASS),,4840.00,90.00,-90.00,0,3.30,0.01,-0.01,0,0.943,0.009,-0.010,0,<a refstr=JONES_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..76J/abstract target=ref>Jones et al. 2018</a>,1.08,0.08,-0.08,0,3.85,0.13,-0.13,0,-0.010,0.080,-0.080,0,[Fe/H],8.500,4.500,-2.800,0
K2-133,K2-133 b,Transit,3.07133000,0.00011000,-0.00011000,0,0.031940,0.000250,-0.000260,0,,,,0,2.36000,,,0,M-R relationship,1.340,0.077,-0.076,0,5.39000,,,0,,,,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.20,0.20,-0.20,0,14.288,0.010,0,V (Johnson),10.279,0.018,0,Ks (2MASS),M1.5 V,3655.00,80.00,-80.00,0,,,,0,-1.479,0.017,-0.017,0,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.tmp.1275W/abstract target=ref>Wells et al. 2019</a>,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,,,,0,,,,,0
K2-133,K2-133 c,Transit,4.86784000,0.00012000,-0.00012000,0,0.043410,0.000340,-0.000350,0,,,,0,3.20000,,,0,M-R relationship,1.603,0.090,-0.088,0,4.27000,,,0,,,,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.20,0.20,-0.20,0,14.288,0.010,0,V (Johnson),10.279,0.018,0,Ks (2MASS),M1.5 V,3655.00,80.00,-80.00,0,,,,0,-1.479,0.017,-0.017,0,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.tmp.1275W/abstract target=ref>Wells et al. 2019</a>,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,,,,0,,,,,0
K2-133,K2-133 d,Transit,11.02454000,0.00036000,-0.00035000,0,0.074870,0.000590,-0.000600,0,,,,0,4.67000,,,0,M-R relationship,2.003,0.107,-0.107,0,3.19000,,,0,,,,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.20,0.20,-0.20,0,14.288,0.010,0,V (Johnson),10.279,0.018,0,Ks (2MASS),M1.5 V,3655.00,80.00,-80.00,0,,,,0,-1.479,0.017,-0.017,0,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.tmp.1275W/abstract target=ref>Wells et al. 2019</a>,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,,,,0,,,,,0
K2-133,K2-133 e,Transit,26.58410000,0.00180000,-0.00170000,0,0.134600,0.001100,-0.001100,0,,,,0,3.64000,,,0,M-R relationship,1.730,0.140,-0.130,0,3.86000,,,0,296,10,-10,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,75.20,0.20,-0.20,0,14.288,0.010,0,V (Johnson),10.279,0.018,0,Ks (2MASS),M1.5 V,3655.00,80.00,-80.00,0,,,,0,-1.479,0.017,-0.017,0,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.tmp.1275W/abstract target=ref>Wells et al. 2019</a>,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,,,,0,,,,,0
K2-136,K2-136 b,Transit,7.97529200,0.00083300,-0.00077000,0,,,,0,0.100000,0.190000,-0.070000,0,0.93700,,,0,M-R relationship,0.990,0.060,-0.040,0,5.31000,,,0,553,17,-27,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,10.855,,0,G (Gaia),8.368,0.019,0,Ks (2MASS),K5.5,4499.00,50.00,-50.00,0,4.66,0.02,-0.02,0,-0.788,0.041,-0.045,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv170910328M/abstract target=ref>Mann et al. 2017</a>,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,0.150,0.030,-0.030,0,[Fe/H],0.688,0.063,-0.063,0
K2-136,K2-136 c,Transit,17.30713700,0.00025200,-0.00028400,0,0.117280,0.000480,-0.000480,0,0.130000,0.270000,-0.110000,0,8.80000,,,0,M-R relationship,2.910,0.110,-0.100,0,1.96000,,,0,425,10,-33,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,10.855,,0,G (Gaia),8.368,0.019,0,Ks (2MASS),K5.5,4499.00,50.00,-50.00,0,4.66,0.02,-0.02,0,-0.788,0.041,-0.045,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv170910328M/abstract target=ref>Mann et al. 2017</a>,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,0.150,0.030,-0.030,0,[Fe/H],0.688,0.063,-0.063,0
K2-136,K2-136 d,Transit,25.57506500,0.00241800,-0.00235700,0,,,,0,0.140000,0.130000,-0.090000,0,2.70000,,,0,M-R relationship,1.450,0.110,-0.080,0,4.87000,,,0,373,18,-17,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,59.35,0.19,-0.19,0,10.855,,0,G (Gaia),8.368,0.019,0,Ks (2MASS),K5.5,4499.00,50.00,-50.00,0,4.66,0.02,-0.02,0,-0.788,0.041,-0.045,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv170910328M/abstract target=ref>Mann et al. 2017</a>,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,0.150,0.030,-0.030,0,[Fe/H],0.688,0.063,-0.063,0
K2-137,K2-137 b,Transit,0.17971500,0.00000100,-0.00000100,0,0.005800,0.000600,-0.000600,0,0.000000,,,0,158.91500,,,1,Mass,0.890,0.090,-0.090,0,,,,0,1471,47,-47,0,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,99.15,0.61,-0.61,0,15.498,0.054,0,V (Johnson),10.882,0.023,0,Ks (2MASS),M3 V,3492.00,70.00,-70.00,0,4.82,0.04,-0.04,0,-1.484,0.006,-0.006,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,0.080,0.120,-0.120,0,[Fe/H],,,,0
K2-138,K2-138 b,Transit,2.35322000,0.00036000,-0.00036000,0,0.033800,0.000240,-0.000240,0,0.403000,,,1,3.09000,,,0,M-R relationship,1.570,0.280,-0.170,0,4.39000,,,0,,,,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),10.305,0.021,0,Ks (2MASS),K1 V,5378.00,60.00,-60.00,0,4.59,0.07,-0.07,0,-0.287,0.006,-0.006,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,0.160,0.040,-0.040,0,[Fe/H],,,,0
K2-138,K2-138 c,Transit,3.55987000,0.00023000,-0.00022000,0,0.044540,0.000320,-0.000320,0,0.296000,,,1,6.90000,,,0,M-R relationship,2.520,0.340,-0.160,0,2.37000,,,0,,,,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),10.305,0.021,0,Ks (2MASS),K1 V,5378.00,60.00,-60.00,0,4.59,0.07,-0.07,0,-0.287,0.006,-0.006,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,0.160,0.040,-0.040,0,[Fe/H],,,,0
K2-138,K2-138 d,Transit,5.40478000,0.00048000,-0.00046000,0,0.058830,0.000420,-0.000420,0,0.348000,,,1,7.56000,,,0,M-R relationship,2.660,0.390,-0.180,0,2.21000,,,0,,,,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),10.305,0.021,0,Ks (2MASS),K1 V,5378.00,60.00,-60.00,0,4.59,0.07,-0.07,0,-0.287,0.006,-0.006,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,0.160,0.040,-0.040,0,[Fe/H],,,,0
K2-138,K2-138 e,Transit,8.26144000,0.00045000,-0.00044000,0,0.078070,0.000560,-0.000560,0,0.315000,,,1,10.80000,,,0,M-R relationship,3.290,0.350,-0.180,0,1.67000,,,0,,,,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),10.305,0.021,0,Ks (2MASS),K1 V,5378.00,60.00,-60.00,0,4.59,0.07,-0.07,0,-0.287,0.006,-0.006,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,0.160,0.040,-0.040,0,[Fe/H],,,,0
K2-138,K2-138 f,Transit,12.75759000,0.00092000,-0.00092000,0,0.104300,0.000740,-0.000750,0,0.364000,,,1,8.30000,,,0,M-R relationship,2.810,0.360,-0.190,0,2.06000,,,0,,,,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,183.00,17.00,-17.00,0,12.210,0.030,0,V (Johnson),10.305,0.021,0,Ks (2MASS),K1 V,5378.00,60.00,-60.00,0,4.59,0.07,-0.07,0,-0.287,0.006,-0.006,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,0.160,0.040,-0.040,0,[Fe/H],,,,0
K2-139,K2-139 b,Transit,28.38061900,0.00055100,-0.00052800,0,0.179600,0.001500,-0.001500,0,0.120000,0.120000,-0.080000,0,123.00021,26.37989,-23.83725,0,Mass,9.110,0.170,-0.170,0,0.91000,0.24000,-0.20000,0,524,8,-8,0,19h16m15.97s,289.066528,-17d54m38.5s,-17.910688,154.60,0.94,-0.94,0,11.653,0.137,0,V (Johnson),9.660,0.023,0,Ks (2MASS),K0 V,5370.00,68.00,-68.00,0,4.54,0.02,-0.02,0,-0.299,0.004,-0.004,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.96,0.02,-0.02,0,0.88,0.01,-0.01,0,0.240,0.050,-0.050,0,[Fe/H],1.800,0.300,-0.300,0
K2-14,K2-14 b,Transit,8.36802000,0.00019000,-0.00019000,0,0.062700,0.000600,-0.000600,0,0.140000,0.157139,-0.112926,0,20.70000,,,0,M-R relationship,4.810,0.420,-0.420,0,1.02000,,,0,488,8,-8,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,367.72,8.20,-8.20,0,16.310,0.070,0,V (Johnson),12.611,0.031,0,Ks (2MASS),M0,3789.00,17.00,-16.00,0,4.89,0.05,-0.05,0,-0.968,0.020,-0.021,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.47,0.01,-0.01,0,0.45,0.01,-0.01,0,-0.370,0.030,-0.040,0,[Fe/H],,,,
K2-140,K2-140 b,Transit,6.56918000,0.00004000,-0.00004000,0,0.068700,0.000500,-0.000500,0,0.120000,0.056000,-0.046000,0,323.86877,22.24810,-22.24810,0,Mass,12.250,0.170,-0.170,0,0.96300,0.08200,-0.08200,0,957,11,-11,0,12h32m32.96s,188.137344,-09d36m27.5s,-9.607640,341.60,5.50,-5.10,0,12.624,0.030,0,V (Johnson),10.995,0.021,0,Ks (2MASS),G5,5705.00,50.00,-48.00,0,4.45,0.01,-0.01,0,-0.019,0.013,-0.013,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,1.00,0.02,-0.02,0,0.99,0.01,-0.01,0,0.130,0.040,-0.040,0,[Fe/H],4.220,0.950,-0.950,0
K2-141,K2-141 b,Transit,0.28032440,0.00000150,-0.00000150,0,0.007160,0.000550,-0.000650,0,0.000000,,,0,5.08000,0.41000,-0.41000,0,Mass,1.510,0.050,-0.050,0,8.20000,1.10000,-1.10000,0,2039,87,-48,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0,11.389,0.148,0,V (Johnson),8.401,0.023,0,Ks (2MASS),K7 V,4599.00,79.00,-79.00,0,4.62,0.02,-0.03,0,-0.750,0.040,-0.040,0,<a refstr=MALAVOLTA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..107M/abstract target=ref>Malavolta et al. 2018</a>,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,-0.060,0.080,-0.100,0,[Fe/H],6.300,6.600,-4.700,0
K2-141,K2-141 c,Transit,7.74850000,0.00022000,-0.00022000,0,,,,0,0.000000,,,0,7.40000,,,1,Mass,7.000,4.600,-2.800,0,,,,0,,,,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0,11.389,0.148,0,V (Johnson),8.401,0.023,0,Ks (2MASS),K7 V,4599.00,79.00,-79.00,0,4.62,0.02,-0.03,0,-0.750,0.040,-0.040,0,<a refstr=MALAVOLTA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..107M/abstract target=ref>Malavolta et al. 2018</a>,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,-0.060,0.080,-0.100,0,[Fe/H],6.300,6.600,-4.700,0
K2-146,K2-146 b,Transit,2.64460000,0.00006000,-0.00006000,0,0.025900,0.000200,-0.000200,0,0.129000,0.019000,-0.019000,0,5.77000,0.18000,-0.18000,0,Mass,2.050,0.060,-0.060,0,3.69000,0.21000,-0.21000,0,534,10,-10,0,08h40m06.43s,130.026779,+19d05m34.4s,19.092878,79.31,0.45,-0.45,0,16.248,0.072,0,V (Johnson),11.370,0.023,0,Ks (2MASS),M3.0 V,3385.00,70.00,-70.00,0,4.92,0.01,-0.01,0,-1.824,0.079,-0.097,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,-0.020,0.120,-0.120,0,[Fe/H],5.000,4.000,-2.000,0
K2-146,K2-146 c,Transit,4.00498000,0.00011000,-0.00011000,0,,,,0,0.075000,0.016000,-0.016000,0,7.49000,0.24000,-0.24000,0,Mass,2.190,0.070,-0.070,0,3.92000,0.27000,-0.27000,0,,,,0,08h40m06.43s,130.026779,+19d05m34.4s,19.092878,79.31,0.45,-0.45,0,16.248,0.072,0,V (Johnson),11.370,0.023,0,Ks (2MASS),M3.0 V,3385.00,70.00,-70.00,0,4.92,0.01,-0.01,0,-1.824,0.079,-0.097,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,-0.020,0.120,-0.120,0,[Fe/H],5.000,4.000,-2.000,0
K2-147,K2-147 b,Transit,0.96191700,0.00002600,-0.00002600,0,0.015900,0.000500,-0.000500,0,,,,0,2.48000,,,0,M-R relationship,1.380,0.170,-0.150,0,5.19000,,,0,,,,0,19h35m19.97s,293.833191,-28d29m52.2s,-28.497833,88.00,13.00,-13.00,0,14.019,0.030,0,V (Johnson),9.997,0.021,0,Ks (2MASS),,3672.00,70.00,-70.00,0,4.72,0.05,-0.05,0,-1.292,0.085,-0.106,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.58,0.06,-0.06,0,0.55,0.06,-0.06,0,0.190,0.120,-0.120,0,[Fe/H],,,,0
K2-148,K2-148 b,Transit,4.38395000,0.00080000,-0.00080000,0,0.045400,0.001400,-0.001400,0,,,,0,2.33000,,,0,M-R relationship,1.330,0.190,-0.180,0,5.44000,,,0,,,,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121.00,19.00,-19.00,0,13.507,0.070,0,V (Johnson),10.292,0.025,0,Ks (2MASS),,4079.00,70.00,-70.00,0,4.65,0.05,-0.05,0,-0.996,0.086,-0.107,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,-0.110,0.120,-0.120,0,[Fe/H],,,,0
K2-148,K2-148 c,Transit,6.92260000,0.00070000,-0.00070000,0,0.061600,0.001900,-0.001900,0,,,,0,3.64000,,,0,M-R relationship,1.730,0.240,-0.210,0,3.86000,,,0,,,,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121.00,19.00,-19.00,0,13.507,0.070,0,V (Johnson),10.292,0.025,0,Ks (2MASS),,4079.00,70.00,-70.00,0,4.65,0.05,-0.05,0,-0.996,0.086,-0.107,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,-0.110,0.120,-0.120,0,[Fe/H],,,,0
K2-148,K2-148 d,Transit,9.75790000,0.00100000,-0.00100000,0,0.077400,0.002400,-0.002400,0,,,,0,3.33000,,,0,M-R relationship,1.640,0.240,-0.210,0,4.15000,,,0,,,,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,121.00,19.00,-19.00,0,13.507,0.070,0,V (Johnson),10.292,0.025,0,Ks (2MASS),,4079.00,70.00,-70.00,0,4.65,0.05,-0.05,0,-0.996,0.086,-0.107,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,-0.110,0.120,-0.120,0,[Fe/H],,,,0
K2-149,K2-149 b,Transit,11.33200000,0.00130000,-0.00130000,0,0.083000,0.002700,-0.002700,0,,,,0,3.33000,,,0,M-R relationship,1.640,0.200,-0.180,0,4.15000,,,0,,,,0,00h39m17.26s,9.821899,+07d16m37.6s,7.277100,118.00,18.00,-18.00,0,14.484,0.160,0,V (Johnson),10.561,0.021,0,Ks (2MASS),M1.0 V,3745.00,70.00,-70.00,0,4.71,0.05,-0.05,0,-1.310,0.088,-0.110,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.59,0.06,-0.06,0,0.57,0.06,-0.06,0,0.110,0.120,-0.120,0,[Fe/H],,,,0
K2-15,K2-15 b,Transit,11.81040000,0.00204000,-0.00204000,0,0.091000,0.001800,-0.001800,0,,,,,6.71000,,,0,M-R relationship,2.480,0.300,-0.300,0,2.42000,,,0,676,26,-26,0,11h52m26.59s,178.110794,+04d15m17.1s,4.254747,501.03,9.26,-9.26,0,14.663,0.050,0,V (Johnson),12.495,0.026,0,Ks (2MASS),G8,5131.00,69.00,-65.00,0,4.57,0.06,-0.06,0,-0.453,0.018,-0.019,0,<a refstr=GAIA_DR2 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180409365G/abstract target=ref>Gaia DR2</a>,0.72,0.06,-0.03,0,0.68,0.06,-0.03,0,-0.460,0.200,-0.140,0,[Fe/H],,,,
K2-150,K2-150 b,Transit,10.59357000,0.00084000,-0.00084000,0,0.072700,0.002700,-0.002700,0,,,,0,4.66000,,,0,M-R relationship,2.000,0.270,-0.210,0,3.20000,,,0,,,,0,01h13m22.60s,18.344175,+08d59m15.1s,8.987539,110.00,15.00,-15.00,0,15.829,0.061,0,V (Johnson),11.249,0.023,0,Ks (2MASS),M2.5 V,3499.00,70.00,-70.00,0,4.82,0.04,-0.04,0,-1.585,0.090,-0.114,0,<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,0.090,0.120,-0.120,0,[Fe/H],,,,0
